video_id,video_title,video_published,channel_id,channel_title,view_count,like_count,comment_count
C6UCvpFHOoo,YoungBoy Never Broke Again - DIESEL / OVER - [Official Music Video],2025-07-01T21:10:17Z,YoungBoy Never Broke Again,US,933412,13753,123397,2025-07-02T13:11:28.114904
GhOUB6IGs6Y,JID - 32 (Freestyle),2025-07-01T16:00:34Z,JID,US,294575,3050,39524,2025-07-02T13:11:28.114904
UyzbSeVBxvk,1 Conservative vs 20 Feminists (Ft. Candace Owens),2025-06-29T16:00:47Z,Jubilee,US,3130973,40967,75919,2025-07-02T13:11:28.114904
NAEcctaVer8,ATEEZ(에이티즈) - [GOLDEN HOUR : Part.3 'In Your Fantasy Edition'] Solo Track Preview,2025-07-01T15:00:00Z,KQ ENTERTAINMENT,US,276100,3803,50607,2025-07-02T13:11:28.114904
GB_IoRf9FBs,C-Kan - 200 pistolas 300 soldados (Video Oficial),2025-06-30T23:30:07Z,OfficialCKanVEVO,US,428914,5368,38656,2025-07-02T13:11:28.114904
C27sdfmHV6Y,Buying Chromebook Player a PC..,2025-06-30T20:06:04Z,Premfn,US,360497,4011,11879,2025-07-02T13:11:28.114904
C6UCvpFHOoo,YoungBoy Never Broke Again - DIESEL / OVER - [Official Music Video],2025-07-01T21:10:17Z,YoungBoy Never Broke Again,GB,933412,13753,123399,2025-07-02T13:11:28.319209
GhOUB6IGs6Y,JID - 32 (Freestyle),2025-07-01T16:00:34Z,JID,GB,294575,3050,39524,2025-07-02T13:11:28.319209
UyzbSeVBxvk,1 Conservative vs 20 Feminists (Ft. Candace Owens),2025-06-29T16:00:47Z,Jubilee,GB,3130973,40967,75919,2025-07-02T13:11:28.319209
C27sdfmHV6Y,Buying Chromebook Player a PC..,2025-06-30T20:06:04Z,Premfn,GB,360497,4011,11879,2025-07-02T13:11:28.319209
UyzbSeVBxvk,1 Conservative vs 20 Feminists (Ft. Candace Owens),2025-06-29T16:00:47Z,Jubilee,AU,3130973,40967,75919,2025-07-02T13:11:28.515714
C6UCvpFHOoo,YoungBoy Never Broke Again - DIESEL / OVER - [Official Music Video],2025-07-01T21:10:17Z,YoungBoy Never Broke Again,AU,933412,13753,123399,2025-07-02T13:11:28.515714
GhOUB6IGs6Y,JID - 32 (Freestyle),2025-07-01T16:00:34Z,JID,AU,294575,3050,39524,2025-07-02T13:11:28.515714
C6UCvpFHOoo,YoungBoy Never Broke Again - DIESEL / OVER - [Official Music Video],2025-07-01T21:10:17Z,YoungBoy Never Broke Again,CA,933412,13753,123399,2025-07-02T13:11:28.738879
GhOUB6IGs6Y,JID - 32 (Freestyle),2025-07-01T16:00:34Z,JID,CA,294575,3050,39524,2025-07-02T13:11:28.738879
UyzbSeVBxvk,1 Conservative vs 20 Feminists (Ft. Candace Owens),2025-06-29T16:00:47Z,Jubilee,CA,3130973,40967,75919,2025-07-02T13:11:28.738879
NAEcctaVer8,ATEEZ(에이티즈) - [GOLDEN HOUR : Part.3 'In Your Fantasy Edition'] Solo Track Preview,2025-07-01T15:00:00Z,KQ ENTERTAINMENT,CA,276100,3803,50607,2025-07-02T13:11:28.738879
C27sdfmHV6Y,Buying Chromebook Player a PC..,2025-06-30T20:06:04Z,Premfn,CA,360497,4011,11879,2025-07-02T13:11:28.738879
